,i_roc,p_roc
visa-candle,87.92,0.00
visa-capsules,82.50,0.00
visa-cashew,94.84,0.00
visa-chewinggum,97.42,0.00
visa-fryum,93.38,0.00
visa-macaroni1,84.88,0.00
visa-macaroni2,77.02,0.00
visa-pcb1,93.80,0.00
visa-pcb2,70.07,0.00
visa-pcb3,78.83,0.00
visa-pcb4,96.38,0.00
visa-pipe_fryum,98.24,0.00
