,i_roc,p_roc
mvtec-carpet,100.00,99.53
mvtec-leather,100.00,
mvtec-wood,99.12,
mvtec-bottle,100.00,
mvtec-capsule,90.39,
mvtec-hazelnut,99.61,
mvtec-grid,99.58,
mvtec-tile,100.00,
mvtec-cable,87.48,
mvtec-metal_nut,98.73,
mvtec-pill,93.02,
mvtec-screw,62.02,
mvtec-toothbrush,91.39,
mvtec-transistor,77.46,
mvtec-zipper,89.84,
