,i_roc,p_roc
visa-candle,87.82,0.00
visa-capsules,79.97,0.00
visa-cashew,95.92,0.00
visa-chewinggum,96.58,0.00
visa-fryum,93.30,0.00
visa-macaroni1,86.34,0.00
visa-macaroni2,74.42,0.00
visa-pcb1,85.20,0.00
visa-pcb2,77.94,0.00
visa-pcb3,80.69,0.00
visa-pcb4,95.63,0.00
visa-pipe_fryum,98.34,0.00
