,i_roc,p_roc
mvtec-carpet,100.00,99.55
mvtec-leather,100.00,
mvtec-wood,99.39,
mvtec-bottle,99.84,
mvtec-capsule,90.71,
mvtec-hazelnut,99.96,
mvtec-grid,99.08,
mvtec-tile,100.00,
mvtec-cable,92.07,
mvtec-metal_nut,99.85,
mvtec-pill,94.03,
mvtec-screw,68.40,
mvtec-toothbrush,99.17,
mvtec-transistor,87.08,
mvtec-zipper,96.69,
